Date : 2022-08-15 09:38:30
Directory : /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe
Total : 149 files,  3498 codes, 648 comments, 413 blanks, all 4559 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/core/eq/Field.hx                    | Haxe     |         12 |          0 |          2 |         14 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/core/eq/Identity.hx                 | Haxe     |         12 |          0 |          2 |         14 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/core/ord/Field.hx                   | Haxe     |         12 |          0 |          2 |         14 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/core/ord/Identity.hx                | Haxe     |         12 |          0 |          2 |         14 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/comparable/Procure.hx       | Haxe     |         11 |          0 |          2 |         13 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/comparable/Procurements.hx  | Haxe     |         11 |          0 |          2 |         13 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/DeclareEnumSchema.hx     | Haxe     |          9 |          0 |          3 |         12 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/DeclareGenericSchema.hx  | Haxe     |          9 |          0 |          3 |         12 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/DeclareRecordSchema.hx   | Haxe     |         12 |          0 |          3 |         15 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/DeclareScalarSchema.hx   | Haxe     |         12 |          0 |          3 |         15 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/DeclareSchema.hx         | Haxe     |         12 |          0 |          3 |         15 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/DeclareUnionSchema.hx    | Haxe     |          9 |          0 |          3 |         12 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/Procure.hx               | Haxe     |         15 |          0 |          2 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/ProcureAttribute.hx      | Haxe     |         18 |          0 |          2 |         20 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/ProcureProperty.hx       | Haxe     |         15 |          0 |          2 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/eq/Procurements.hx          | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/DeclareEnumSchema.hx    | Haxe     |          9 |          0 |          3 |         12 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/DeclareGenericSchema.hx | Haxe     |          9 |          0 |          3 |         12 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/DeclareRecordSchema.hx  | Haxe     |         12 |          0 |          3 |         15 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/DeclareScalarSchema.hx  | Haxe     |         12 |          0 |          3 |         15 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/DeclareSchema.hx        | Haxe     |         12 |          0 |          3 |         15 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/DeclareUnionSchema.hx   | Haxe     |          9 |          0 |          3 |         12 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/Procure.hx              | Haxe     |         14 |          0 |          2 |         16 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/ProcureAttribute.hx     | Haxe     |         18 |          0 |          2 |         20 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/ProcureProperty.hx      | Haxe     |         15 |          0 |          3 |         18 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/declare/ord/Procurements.hx         | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/eq/Identity.hx                      | Haxe     |         12 |          0 |          2 |         14 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/eq/RelationType.hx                  | Haxe     |          8 |          0 |          3 |         11 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/eq/Schema.hx                        | Haxe     |         16 |          0 |          3 |         19 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/eq/SchemaRef.hx                     | Haxe     |         12 |          0 |          3 |         15 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/eq/Validation.hx                    | Haxe     |         17 |          0 |          3 |         20 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/eq/Validations.hx                   | Haxe     |          8 |          0 |          3 |         11 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/ord/RelationType.hx                 | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/ord/Schema.hx                       | Haxe     |         16 |          0 |          3 |         19 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/ord/SchemaRef.hx                    | Haxe     |         12 |          0 |          3 |         15 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/ord/Validation.hx                   | Haxe     |         17 |          0 |          3 |         20 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/ord/Validations.hx                  | Haxe     |          8 |          0 |          3 |         11 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/comparable/SType.hx            | Haxe     |         11 |          0 |          2 |         13 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/AnonType.hx                 | Haxe     |         16 |          0 |          2 |         18 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/BaseType.hx                 | Haxe     |         15 |          0 |          2 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/EnumType.hx                 | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/GenericType.hx              | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/LazyType.hx                 | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/LinkType.hx                 | Haxe     |         15 |          0 |          2 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/RecordType.hx               | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/SType.hx                    | Haxe     |         19 |          0 |          2 |         21 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/ScalarType.hx               | Haxe     |         15 |          0 |          2 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/eq/UnionType.hx                | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/AnonType.hx                | Haxe     |         16 |          0 |          2 |         18 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/BaseType.hx                | Haxe     |         15 |          0 |          2 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/EnumType.hx                | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/GenericType.hx             | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/LazyType.hx                | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/LinkType.hx                | Haxe     |         15 |          0 |          2 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/RecordType.hx              | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/SType.hx                   | Haxe     |         19 |          0 |          2 |         21 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/ScalarType.hx              | Haxe     |         15 |          0 |          2 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/assert/schema/type/ord/UnionType.hx               | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/fail/SchemaFailure.hx                             | Haxe     |         31 |          0 |          4 |         35 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/import.hx                                         | Haxe     |         20 |          0 |         11 |         31 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Core.hx                                    | Haxe     |          6 |          0 |          3 |          9 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/ID.hx                                      | Haxe     |          8 |          0 |          2 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Logging.hx                                 | Haxe     |          9 |          0 |          2 |         11 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Module.hx                                  | Haxe     |         26 |          0 |          2 |         28 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Munge.hx                                   | Haxe     |         87 |         15 |          6 |        108 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/RelationType.hx                            | Haxe     |          6 |          0 |          2 |          8 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/SType.hx                                   | Haxe     |        226 |         59 |          3 |        288 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Schema.hx                                  | Haxe     |        135 |         13 |          4 |        152 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/SchemaRef.hx                               | Haxe     |         81 |         45 |          4 |        130 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Script.hx                                  | Haxe     |         12 |          1 |          1 |         14 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Test.hx                                    | Haxe     |         27 |         13 |          3 |         43 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Validation.hx                              | Haxe     |         28 |          1 |          2 |         31 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/Validations.hx                             | Haxe     |         30 |          0 |          1 |         31 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/View.hx                                    | Haxe     |          3 |          0 |          2 |          5 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/WithValidation.hx                          | Haxe     |         12 |          0 |          1 |         13 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/WithValidationDef.hx                       | Haxe     |          4 |          0 |          1 |          5 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/core/Data.hx                               | Haxe     |          7 |          0 |          1 |          8 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/core/Field.hx                              | Haxe     |         25 |          3 |          3 |         31 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/core/Identity.hx                           | Haxe     |         53 |          0 |          3 |         56 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/core/Ref.hx                                | Haxe     |         23 |          0 |          2 |         25 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/core/import.hx                             | Haxe     |          5 |          0 |          0 |          5 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/DeclareAttribute.hx                | Haxe     |         72 |          0 |          3 |         75 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/DeclareEnumSchema.hx               | Haxe     |         70 |         57 |          3 |        130 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/DeclareGenericSchema.hx            | Haxe     |         77 |         10 |          3 |         90 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/DeclareProperty.hx                 | Haxe     |         37 |          1 |          2 |         40 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/DeclareRecordSchema.hx             | Haxe     |         66 |         18 |          4 |         88 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/DeclareScalarSchema.hx             | Haxe     |         24 |          6 |          1 |         31 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/DeclareSchema.hx                   | Haxe     |         61 |          0 |          6 |         67 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/DeclareUnionSchema.hx              | Haxe     |         68 |         12 |          4 |         84 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/IdentLift.hx                       | Haxe     |         24 |          0 |          1 |         25 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/Procure.hx                         | Haxe     |         70 |          0 |          3 |         73 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/ProcureAttribute.hx                | Haxe     |         47 |          0 |          2 |         49 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/ProcureProperty.hx                 | Haxe     |         44 |          0 |          2 |         46 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/Procurements.hx                    | Haxe     |         84 |          0 |          6 |         90 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/term/SchemaArray.hx                | Haxe     |         25 |         11 |          2 |         38 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/term/SchemaBool.hx                 | Haxe     |         24 |          0 |          1 |         25 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/term/SchemaFloat.hx                | Haxe     |         24 |          0 |          1 |         25 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/term/SchemaInt.hx                  | Haxe     |         24 |          0 |          1 |         25 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/term/SchemaNull.hx                 | Haxe     |         25 |          0 |          1 |         26 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/term/SchemaScalar.hx               | Haxe     |         18 |          0 |          1 |         19 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/declare/term/SchemaString.hx               | Haxe     |         24 |          0 |          1 |         25 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/frontend/Internal.hx                       | Haxe     |          3 |          0 |          2 |          5 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/frontend/json/Reader.hx                    | Haxe     |          3 |          0 |          2 |          5 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/import.hx                                  | Haxe     |          6 |          0 |          2 |          8 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/munge/Type.hx                              | Haxe     |          3 |          0 |          2 |          5 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/test/ComparisonTest.hx                     | Haxe     |          6 |          0 |          2 |          8 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/test/DeclareEnumSchemaTest.hx              | Haxe     |         12 |          0 |          1 |         13 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/test/HalvaContextTest.hx                   | Haxe     |         55 |         33 |          3 |         91 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/test/MungeTest.hx                          | Haxe     |         27 |          0 |          1 |         28 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/test/SchemaTest.hx                         | Haxe     |         63 |          6 |          3 |         72 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/test/TableTypeTest.hx                      | Haxe     |          9 |         39 |          1 |         49 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/test/TestTypes.hx                          | Haxe     |         55 |          0 |          1 |         56 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/test/import.hx                             | Haxe     |          2 |          0 |          1 |          3 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/AnonType.hx                           | Haxe     |         61 |         19 |          6 |         86 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/BaseType.hx                           | Haxe     |         43 |          2 |         12 |         57 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/ConcreteType.hx                       | Haxe     |         11 |          0 |          1 |         12 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/DataType.hx                           | Haxe     |         19 |          0 |          5 |         24 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/EnumType.hx                           | Haxe     |         51 |          4 |          2 |         57 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/GenericType.hx                        | Haxe     |         43 |         21 |          5 |         69 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/Has_getIdentity.hx                    | Haxe     |          7 |          0 |          1 |          8 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/Has_getIdentityDef.hx                 | Haxe     |          4 |          0 |          1 |          5 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/LazyType.hx                           | Haxe     |         40 |          5 |          4 |         49 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/LeafType.hx                           | Haxe     |         20 |          4 |          1 |         25 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/LinkType.hx                           | Haxe     |         55 |         22 |          5 |         82 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/MangledIdentity.hx                    | Haxe     |          9 |          0 |          3 |         12 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/RecordType.hx                         | Haxe     |         41 |         18 |          7 |         66 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/ScalarType.hx                         | Haxe     |         28 |          2 |          4 |         34 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/Terms.hx                              | Haxe     |          7 |          1 |          1 |          9 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/TypeStatus.hx                         | Haxe     |          6 |          0 |          1 |          7 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/UnionType.hx                          | Haxe     |         36 |         84 |          8 |        128 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/Util.hx                               | Haxe     |          3 |          0 |          2 |          5 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/term/TypeArray.hx                     | Haxe     |         19 |          0 |          1 |         20 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/term/TypeBool.hx                      | Haxe     |         16 |          0 |          2 |         18 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/term/TypeFloat.hx                     | Haxe     |         16 |          0 |          2 |         18 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/term/TypeInt.hx                       | Haxe     |         16 |          0 |          1 |         17 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/term/TypeNull.hx                      | Haxe     |         18 |          0 |          2 |         20 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/type/term/TypeString.hx                    | Haxe     |         16 |          0 |          2 |         18 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/validation/term/Array.hx                   | Haxe     |         19 |          0 |          1 |         20 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/validation/term/Bool.hx                    | Haxe     |          9 |          0 |          1 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/validation/term/Float.hx                   | Haxe     |          9 |          0 |          1 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/validation/term/Int.hx                     | Haxe     |          9 |          0 |          1 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/validation/term/Null.hx                    | Haxe     |         13 |          0 |          1 |         14 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/validation/term/String.hx                  | Haxe     |          9 |          0 |          1 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/validation/term/import.hx                  | Haxe     |          2 |          0 |          1 |          3 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/view/Leaf.hx                               | Haxe     |          6 |          0 |          4 |         10 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/view/Main.hx                               | Haxe     |          3 |          0 |          3 |          6 |
| /mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/stx/schema/view/import.hx                             | Haxe     |         10 |          0 |          4 |         14 |
| Total                                                                                                |          |      3,498 |        648 |        413 |      4,559 |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
